id,question,answer_1,answer_2,answer_3,solution
1001,Chi può praticare autonomamente il volo libero?,Chiunque può praticare quest’attività sportiva purché abbia frequentato un apposito corso.,"Chiunque, munito dei requisiti richiesti dalle norme in vigore (Attestato in corso di validità e copertura assicurativa RCT).",Chiunque può praticare quest’attività purché abbia superato un esame Ae.C.I..,2
1002,Chi è l’unico responsabile della condotta del deltaplano e del parapendio?,Il pilota.,"Il pilota, ma solo se dotato di sufficiente esperienza.",L’Ente di Controllo del Traffico Aereo.,1
1003,"Qual è l’età minima, previo consenso dei genitori, per la pratica del Volo Libero?",14 anni.,18 anni.,16 anni.,3
1004,Il Certificato Medico ha normalmente validità di,18 mesi.,24 mesi.,36 mesi.,2
1005,La copertura assicurativa RCT è obbligatoria per la pratica del VDS/VL?,"Si, il pilota è obbligato ad assicurarsi.","No, il pilota non è obbligato ad assicurarsi.","Si, ma solo per effettuare voli di cross-country.",1
1006,Nel Volo Libero qual è il criterio generale di precedenza nell’area di decollo?,Ha la precedenza il pilota in fase d’atterraggio (top landing).,Ha la precedenza il pilota in fase di decollo.,Non esiste un criterio specifico.,1
1007,È obbligatorio l’uso del casco per il Volo Libero?,No.,Si.,Solo per il volo in deltaplano.,2
1008,Qual è lo spazio aereo all’interno del quale si può praticare il Volo Libero?,Qualsiasi spazio aereo purché ad una quota inferiore ai 1000 piedi.,Lo spazio aereo controllato dalle Autorità Aeronautiche.,"Lo spazio aereo non controllato, salvo particolari eccezioni o autorizzazioni sancite da un notam.",3
1009,Il criterio nello stabilire la suddivisione degli spazi aerei per la pratica del volo è:,"solo quello di limitare lo spazio aereo a disposizione degli sportivi che praticano il Volo Libero, in quanto ritenuta attività secondaria.",quello di separare il traffico costituito dagli apparecchi per il Volo Libero da altri traffici civili e militari per garantire la sicurezza del volo ed evitare collisioni.,quello di impedire che l’attività di Volo Libero si svolga al di sopra di certe quote in quanto molto in alto gli apparecchi in uso non danno garanzie di sicurezza.,2
1010,Quale altezza minima si deve mantenere nella pratica del VDS/VL?,500 piedi dal punto più elevato nel raggio di 3 km nei giorni feriali e 1000 piedi nei giorni festivi.,"Non vi è un’altezza minima, perché è comunque vietato il sorvolo dei centri abitati con deltaplano e parapendio.","Quella che consente, in caso d’emergenza, un atterraggio che non comporti pericolo per beni e persone al suolo.",3
