NORMATIVA,AERODINAMICA,2.060,-,3,2.120,-,3,PRONTO
E LEGISLAZIONE,2.001   -  2,2.061,-,2,2.121,-,1,SOCCORSO
1.001   -  2,2.002   -  2,2.062,-,3,2.122,-,3,3.001   -  2
1.002   -  1,2.003   -  3,2.063,-,1,2.123,-,3,3.002   -  3
1.003   -  3,2.004   -  3,2.064,-,3,2.124,-,3,3.003   -  2
1.004   -  2,2.005   -  3,2.065,-,2,2.125,-,1,3.004   -  3
1.005   -  1,2.006   -  1,2.066,-,3,2.126,-,2,3.005   -  2
1.006   -  1,2.007   -  2,2.067,-,1,2.127,-,2,3.006   -  3
1.007   -  2,2.008   -  1,2.068,-,3,2.128,-,1,3.007   -  1
1.008   -  3,2.009   -  3,2.069,-,3,2.129,-,1,3.008   -  2
1.009   -  2,2.010   -  1,2.070,-,2,2.130,-,3,3.009   -  3
1.010   -  3,2.011   -  2,2.071,-,3,2.131,-,1,3.010   -  2
1.011   -  3,2.012   -  1,2.072,-,1,2.132,-,3,3.011   -  2
1.012   -  1,2.013   -  3,2.073,-,1,2.133,-,1,3.012   -  2
1.013   -  3,2.014   -  2,2.074,-,2,2.134,-,2,3.013   -  2
1.014   -  2,2.015   -  3,2.075,-,3,2.135,-,1,3.014   -  3
1.015   -  2,2.016   -  1,2.076,-,2,2.136,-,3,3.015   -  2
1.016   -  3,2.017   -  3,2.077,-,1,2.137,-,1,3.016   -  1
1.017   -  1,2.018   -  1,2.078,-,1,2.138,-,2,3.017   -  1
1.018   -  1,2.019   -  1,2.079,-,1,2.139,-,3,3.018   -  2
1.019   -  1,2.020   -  2,2.080,-,2,2.140,-,2,3.019   -  2
1.020   -  1,2.021   -  2,2.081,-,1,2.141,-,3,3.020   -  3
1.021   -  3,2.022   -  1,2.082,-,3,2.142,-,1,FISIOPATOLOGIA
1.022   -  1,2.023   -  3,2.083,-,3,2.143,-,2,DEL VOLO
1.023   -  3,2.024   -  2,2.084,-,1,2.144,-,1,4.001   -  1
1.024   -  2,2.025   -  3,2.085,-,3,2.145,-,3,4.002   -  2
1.025   -  1,2.026   -  3,2.086,-,2,2.146,-,3,4.003   -  3
1.026   -  2,2.027   -  3,2.087,-,1,2.147,-,2,4.004   -  1
1.027   -  1,2.028   -  2,2.088,-,2,2.148,-,2,4.005   -  2
1.028   -  1,2.029   -  1,2.089,-,3,2.149,-,3,4.006   -  3
1.029   -  2,2.030   -  1,2.090,-,1,2.150,-,1,4.007   -  1
1.030   -  3,2.031   -  1,2.091,-,2,,,,4.008   -  2
1.031   -  1,2.032   -  3,2.092,-,3,,,,4.009   -  1
1.032   -  1,2.033   -  2,2.093,-,2,,,,4.010   -  1
1.033   -  3,2.034   -  3,2.094,-,1,,,,
1.034   -  3,2.035   -  1,2.095,-,1,,,,
1.035   -  2,2.036   -  2,2.096,-,3,,,,
1.036   -  3,2.037   -  2,2.097,-,2,,,,
1.037   -  2,2.038   -  1,2.098,-,1,,,,
1.038   -  1,2.039   -  2,2.099,-,3,,,,
1.039   -  2,2.040   -  3,2.100,-,2,,,,
1.040   -  1,2.041   -  1,2.101,-,3,,,,
"",2.042   -  3,2.102,-,3,,,,
"",2.043   -  2,2.103,-,1,,,,
"",2.044   -  2,2.104,-,1,,,,
"",2.045   -  2,2.105,-,2,,,,
"",2.046   -  3,2.106,-,3,,,,
"",2.047   -  1,2.107,-,1,,,,
"",2.048   -  2,2.108,-,3,,,,
"",2.049   -  3,2.109,-,1,,,,
"",2.050   -  2,2.110,-,1,,,,
"",2.051   -  1,2.111,-,3,,,,
"",2.052   -  1,2.112,-,3,,,,
"",2.053   -  3,2.113,-,2,,,,
"",2.054   -  1,2.114,-,1,,,,
"",2.055   -  2,2.115,-,3,,,,
"",2.056   -  3,2.116,-,1,,,,
"",2.057   -  1,2.117,-,1,,,,
"",2.058   -  2,2.118,-,2,,,,
"",2.059   -  1,2.119,-,2,,,,
METEOROLOGIA,5.061,-,1,STRUMENTI,,7.040   -,3,,SICUREZZA,
E AEROLOGIA,5.062,-,1,6.001   -,3,7.041   -,1,,DEL VOLO,
5.001   -  3,5.063,-,3,6.002   -,1,7.042   -,2,,9.001   -,1
5.002   -  3,5.064,-,2,6.003   -,2,7.043   -,3,,9.002   -,2
5.003   -  1,5.065,-,1,6.004   -,1,7.044   -,2,,9.003   -,3
5.004   -  2,5.066,-,3,6.005   -,2,7.045   -,3,,9.004   -,2
5.005   -  2,5.067,-,1,6.006   -,1,7.046   -,2,,9.005   -,1
5.006   -  3,5.068,-,3,6.007   -,2,7.047   -,2,,9.006   -,3
5.007   -  1,5.069,-,2,6.008   -,1,7.048   -,1,,9.007   -,2
5.008   -  1,5.070,-,2,6.009   -,1,7.049   -,1,,9.008   -,1
5.009   -  1,5.071,-,3,6.010   -,3,7.050   -,2,,9.009   -,2
5.010   -  3,5.072,-,3,6.011   -,1,7.051   -,1,,9.010   -,1
5.011   -  3,5.073,-,1,6.012   -,1,7.052   -,3,,9.011   -,3
5.012   -  1,5.074,-,2,6.013   -,2,7.053   -,1,,9.012   -,3
5.013   -  2,5.075,-,3,6.014   -,3,7.054   -,2,,9.013   -,2
5.014   -  1,5.076,-,1,6.015   -,3,7.055   -,3,,9.014   -,1
5.015   -  1,5.077,-,1,6.016   -,3,7.056   -,2,,9.015   -,2
5.016   -  2,5.078,-,2,6.017   -,1,7.057   -,1,,9.016   -,2
5.017   -  1,5.079,-,1,6.018   -,2,7.058   -,1,,9.017   -,2
5.018   -  2,5.080,-,2,6.019   -,2,7.059   -,3,,9.018   -,3
5.019   -  3,5.081,-,3,6.020   -,2,7.060   -,2,,9.019   -,1
5.020   -  1,5.082,-,1,TECNICA DI,,7.061   -,2,,9.020   -,1
5.021   -  3,5.083,-,2,PILOTAGGIO,,7.062   -,2,,9.021   -,2
5.022   -  1,5.084,-,1,7.001   -,2,7.063   -,1,,9.022   -,1
5.023   -  3,5.085,-,2,7.002   -,3,7.064   -,2,,9.023   -,2
5.024   -  3,5.086,-,2,7.003   -,1,7.065   -,2,,9.024   -,2
5.025   -  2,5.087,-,1,7.004   -,2,7.066   -,3,,9.025   -,3
5.026   -  3,5.088,-,3,7.005   -,3,7.067   -,1,,9.026   -,3
5.027   -  1,5.089,-,1,7.006   -,3,7.068   -,2,,9.027   -,1
5.028   -  3,5.090,-,2,7.007   -,3,7.069   -,3,,9.028   -,3
5.029   -  3,5.091,-,1,7.008   -,2,7.070   -,1,,9.029   -,3
5.030   -  1,5.092,-,2,7.009   -,3,7.071   -,2,,9.030   -,1
5.031   -  3,5.093,-,1,7.010   -,2,7.072   -,3,,9.031   -,2
5.032   -  1,5.094,-,3,7.011   -,1,7.073   -,1,,9.032   -,1
5.033   -  2,5.095,-,1,7.012   -,2,7.074   -,1,,9.033   -,3
5.034   -  2,5.096,-,1,7.013   -,1,7.075   -,1,,9.034   -,3
5.035   -  3,5.097,-,2,7.014   -,1,7.076   -,3,,9.035   -,1
5.036   -  2,5.098,-,2,7.015   -,3,7.077   -,2,,9.036   -,2
5.037   -  2,5.099,-,3,7.016   -,2,7.078   -,1,,9.037   -,3
5.038   -  1,5.100,-,3,7.017   -,1,7.079   -,2,,9.038   -,1
5.039   -  3,5.101,-,3,7.018   -,1,MATERIALI,,,9.039   -,2
5.040   -  3,5.102,-,3,7.019   -,3,8.001   -,1,,9.040   -,3
5.041   -  1,5.103,-,1,7.020   -,2,8.002   -,2,,9.041   -,2
5.042   -  2,5.104,-,2,7.021   -,1,8.003   -,1,,9.042   -,1
5.043   -  1,5.105,-,1,7.022   -,3,8.004   -,3,,9.043   -,3
5.044   -  2,5.106,-,1,7.023   -,3,8.005   -,3,,9.044   -,3
5.045   -  3,5.107,-,1,7.024   -,1,8.006   -,1,,9.045   -,2
5.046   -  3,5.108,-,2,7.025   -,2,8.007   -,3,,,
5.047   -  1,5.109,-,3,7.026   -,1,8.008   -,1,,,
5.048   -  3,5.110,-,2,7.027   -,2,8.009   -,2,,,
